,precision,recall,f1-score,support
//pagewide pro 477dw mfp,1.0,0.03125,0.06060606060606061,32.0
//photosmart 5520 series,1.0,0.5,0.6666666666666666,6.0
//photosmart 7520 series,1.0,1.0,1.0,7.0
//php5,1.0,1.0,1.0,16.0
//pk5001z,1.0,1.0,1.0,1924.0
//r6250,1.0,1.0,1.0,32.0
//r6300,1.0,1.0,1.0,9.0
//r6400,1.0,1.0,1.0,101.0
//r6900v2,1.0,1.0,1.0,8.0
//r7000,1.0,1.0,1.0,276.0
//r7800,1.0,1.0,1.0,232.0
//r8000,1.0,1.0,1.0,127.0
//r9000,1.0,1.0,1.0,127.0
//rb2011,1.0,1.0,1.0,1.0
//rb450,1.0,1.0,1.0,1.0
//rb750,1.0,1.0,1.0,1.0
//rg-301w,1.0,1.0,1.0,2.0
//rg-501h,1.0,1.0,1.0,9.0
//rs232,1.0,1.0,1.0,1.0
//rs485,1.0,1.0,1.0,2.0
//rt-ac66u,1.0,1.0,1.0,1.0
//rt-ac68u,1.0,1.0,1.0,1.0
//rt-ac87r,1.0,1.0,1.0,7.0
//rt-ac87u,1.0,1.0,1.0,30.0
//rt-n10u,1.0,1.0,1.0,6.0
//rt-n12,1.0,1.0,1.0,1.0
//rt-n16,1.0,1.0,1.0,11.0
//rt-n18u,1.0,1.0,1.0,1.0
//rt-n66u,1.0,1.0,1.0,2.0
//rv082,1.0,1.0,1.0,2.0
//s5840cdn,1.0,1.0,1.0,3.0
//s9306,0.0,0.0,0.0,1.0
//sl2-141,1.0,1.0,1.0,3.0
//snc-er580,1.0,1.0,1.0,6.0
//srx100b,1.0,1.0,1.0,44.0
//srx100h,1.0,1.0,1.0,15.0
//srx1400,1.0,1.0,1.0,5.0
//srx320,1.0,1.0,1.0,99.0
//srx340,1.0,1.0,1.0,99.0
//srx345,1.0,1.0,1.0,41.0
//srx650,1.0,1.0,1.0,16.0
//t0f32a,1.0,1.0,1.0,5.0
//t0f33a,0.875,1.0,0.9333333333333333,7.0
//t0g25a,0.75,1.0,0.8571428571428571,15.0
//t652,1.0,1.0,1.0,2.0
//td-w8950n,1.0,1.0,1.0,34.0
//td-w8960n,1.0,1.0,1.0,774.0
//td-w8968,1.0,1.0,1.0,405.0
//tenor multipath switch,1.0,1.0,1.0,418.0
//test2,1.0,1.0,1.0,2.0
//tew-634gru,1.0,1.0,1.0,1.0
//tew-651br,1.0,1.0,1.0,11.0
//tew-652brp,1.0,1.0,1.0,11.0
//tew-673gru,1.0,1.0,1.0,2.0
//tew-712br,1.0,1.0,1.0,3.0
//tl-wdr3600,1.0,1.0,1.0,2.0
//tl-wdr4300,1.0,1.0,1.0,2.0
//tl-wr1043nd,1.0,1.0,1.0,198.0
//tl-wr740n,1.0,1.0,1.0,6.0
//tl-wr741n,1.0,1.0,1.0,5.0
//tl-wr741nd,1.0,1.0,1.0,843.0
//tl-wr841hp,1.0,1.0,1.0,67.0
//tl-wr841n,1.0,0.8,0.888888888888889,5.0
//tl-wr841nd,0.999507874015748,1.0,0.9997538764459758,2031.0
//tl-wr940n,1.0,1.0,1.0,3.0
//tl-wr941hp,1.0,1.0,1.0,93.0
//tl-wr941nd,1.0,1.0,1.0,335.0
//tw100-s4w1ca,1.0,1.0,1.0,52.0
//uag2100,1.0,1.0,1.0,3.0
//uag5100,1.0,1.0,1.0,3.0
//usg110,1.0,1.0,1.0,82.0
//usg310,1.0,1.0,1.0,23.0
//v100r003,1.0,1.0,1.0,118.0
//vb-c10,1.0,1.0,1.0,3.0
//vb-c50i,1.0,1.0,1.0,6.0
//vb-c60,1.0,1.0,1.0,31.0
//vb-h41,1.0,1.0,1.0,6.0
//vb-m40,1.0,1.0,1.0,20.0
//vb-m600,1.0,1.0,1.0,2.0
//virtual web,1.0,1.0,1.0,2.0
//vsg1432-b101,1.0,1.0,1.0,1216.0
//vsg1435-b101,1.0,1.0,1.0,157.0
//w 723v typ b,1.0,1.0,1.0,2.0
//w3layouts,1.0,1.0,1.0,2.0
//wa801n,1.0,1.0,1.0,3.0
//wag120n,1.0,1.0,1.0,14.0
//wag200g,1.0,1.0,1.0,11.0
//wag320n,1.0,1.0,1.0,4.0
//wag54gs,1.0,1.0,1.0,3.0
//wap200,1.0,1.0,1.0,2.0
//wap4400n,1.0,1.0,1.0,1.0
//wap54g,1.0,1.0,1.0,6.0
//wbr-2200,1.0,1.0,1.0,53.0
//wdr4300,1.0,1.0,1.0,1.0
//wg302v2,1.0,1.0,1.0,2.0
//win32,1.0,1.0,1.0,34.0
//wl-500w,1.0,1.0,1.0,1.0
//wndr4300,1.0,1.0,1.0,1.0
//wnr1000v3,1.0,1.0,1.0,45.0
//wnr2000v2,1.0,1.0,1.0,2.0
//wnr2000v5,1.0,1.0,1.0,270.0
//wnr3500lv1,1.0,1.0,1.0,2.0
//wnr614,1.0,1.0,1.0,112.0
//wnrt-627,1.0,1.0,1.0,2.0
//wpa2,1.0,1.0,1.0,642.0
//wpa2-psk,1.0,1.0,1.0,3.0
//wr1042nd,1.0,1.0,1.0,2.0
//wr1043nd,1.0,1.0,1.0,1.0
//wr1505n3,1.0,1.0,1.0,7.0
//wr3005n3,1.0,1.0,1.0,12.0
//wr340g,1.0,1.0,1.0,3.0
//wr740n,1.0,1.0,1.0,4.0
//wr741nd,1.0,1.0,1.0,2.0
//wr840n,1.0,1.0,1.0,1.0
//wr841n,1.0,1.0,1.0,252.0
//wr842nd,1.0,1.0,1.0,21.0
//wr941n,1.0,1.0,1.0,1.0
//wr941nd,1.0,1.0,1.0,110.0
//wrt100,1.0,1.0,1.0,2.0
//wrt110,1.0,1.0,1.0,16.0
//wrt150n,1.0,1.0,1.0,8.0
//wrt54g,1.0,0.6153846153846154,0.761904761904762,13.0
//wrt54gl,1.0,1.0,1.0,1.0
//wrt600n,1.0,1.0,1.0,11.0
//wrv54g,1.0,1.0,1.0,8.0
//ws-c3550-24,1.0,1.0,1.0,3.0
//ws-c3550-48,1.0,1.0,1.0,4.0
//wvc54gc,1.0,1.0,1.0,2.0
//x451dn,1.0,1.0,1.0,5.0
//x476dn,1.0,1.0,1.0,9.0
//xc4140,1.0,1.0,1.0,2.0
//xc4150,1.0,1.0,1.0,1.0
//xwr100,1.0,1.0,1.0,20.0
//zbr-79071,1.0,1.0,1.0,4.0
//zywall,1.0,1.0,1.0,4.0
accuracy,0.9756762700681768,0.9756762700681768,0.9756762700681768,0.9756762700681768
macro avg,0.9159062391913545,0.9325731829830968,0.9138619384581559,22735.0
weighted avg,0.9724969376189715,0.9756762700681768,0.9688286467869135,22735.0
